book,0,1767225600,1767225600,0
bye,0,1767225600,1767225600,0
can,0,1767225600,1767225600,0
cook,0,1767225600,1767225600,0
day,0,1767225600,1767225600,0
drink,0,1767225600,1767225600,0
eat,0,1767225600,1767225600,0
english,0,1767225600,1767225600,0
food,0,1767225600,1767225600,0
go,0,1767225600,1767225600,0
guitar,0,1767225600,1767225600,0
hello,0,1767225600,1767225600,0
home,0,1767225600,1767225600,0
how,0,1767225600,1767225600,0
i,0,1767225600,1767225600,0
like,0,1767225600,1767225600,0
listen,0,1767225600,1767225600,0
meet,0,1767225600,1767225600,0
movie,0,1767225600,1767225600,0
music,0,1767225600,1767225600,0
no,0,1767225600,1767225600,0
phone,0,1767225600,1767225600,0
play,0,1767225600,1767225600,0
please,0,1767225600,1767225600,0
read,0,1767225600,1767225600,0
sleep,0,1767225600,1767225600,0
talk,0,1767225600,1767225600,0
thanks,0,1767225600,1767225600,0
time,0,1767225600,1767225600,0
today,0,1767225600,1767225600,0
want,0,1767225600,1767225600,0
watch,0,1767225600,1767225600,0
we,0,1767225600,1767225600,0
what,0,1767225600,1767225600,0
when,0,1767225600,1767225600,0
where,0,1767225600,1767225600,0
who,0,1767225600,1767225600,0
why,0,1767225600,1767225600,0
yes,0,1767225600,1767225600,0
you,0,1767225600,1767225600,0
